,question,answer
2633,what did you do?,i stood on the great wall and looked all around.
2634,i stood on the great wall and looked all around.,what was it like?
2635,what was it like?,it was like the real thing.
2636,it was like the real thing.,it was like being there?
2637,it was like being there?,"yes, i felt like i was actually there."
2638,the beatles are the best.,they are the best musical group ever.
2639,they are the best musical group ever.,i love all their songs.
2640,i love all their songs.,i don't know which one i like the best.
2641,i don't know which one i like the best.,i like the ones i can sing along with.
2642,i like the ones i can sing along with.,"so do i, like ""she loves you."""
2643,"so do i, like ""she loves you.""","""she loves you, yeah, yeah, yeah!..."""
2644,"""she loves you, yeah, yeah, yeah!...""","""Â…and you know you should be glad!"""
2645,"""Â…and you know you should be glad!""",what a great song.
2646,what a great song.,"how about ""let it be?"""
2647,"how about ""let it be?""","oh, yes! ""let it be, let it beÂ…"""
2648,"oh, yes! ""let it be, let it beÂ…""","""Â…there will be an answer, let it be!"""
2649,let's go to a movie.,i'd rather not.
2650,i'd rather not.,why not?
2651,why not?,you know i don't like crowds.
2652,you know i don't like crowds.,let's go to an early movie.
2653,let's go to an early movie.,"okay, that won't be very crowded."
2654,"okay, that won't be very crowded.",what would you like to see?
2655,what would you like to see?,"oh, i don't care. you're the one who wants to go out."
2656,"oh, i don't care. you're the one who wants to go out.","well, i want to see ""the pursuit of happyness."""
2657,"well, i want to see ""the pursuit of happyness.""",what have you heard about it?
2658,what have you heard about it?,it's based on a true story about a divorced man and his young son.
2659,it's based on a true story about a divorced man and his young son.,"well, i hope it has a happy ending."
2660,what's your favorite thing to do?,i like to watch people.
2661,i like to watch people.,that's your favorite thing to do?
2662,that's your favorite thing to do?,"well, it's one of them."
2663,"well, it's one of them.",where do you go to watch people?
2664,where do you go to watch people?,my girlfriend and i sit outside starbucks.
2665,my girlfriend and i sit outside starbucks.,that sounds like a good spot.
2666,that sounds like a good spot.,we watch people walk by with their dogs.
2667,we watch people walk by with their dogs.,i guess you see lots of different dogs.
2668,i guess you see lots of different dogs.,we don't even know what kind most of them are.
2669,we don't even know what kind most of them are.,"there are lots of different kinds, but they all have one thing in common."
2670,"there are lots of different kinds, but they all have one thing in common.","yes, they love to sniff each other when they meet."
2671,they call him father dollar bill.,"yes, he was on the tv news today."
2672,"yes, he was on the tv news today.",every easter sunday he gives away money.
2673,every easter sunday he gives away money.,is it his money?
2674,is it his money?,no. movie stars give him money to give to homeless people.
2675,no. movie stars give him money to give to homeless people.,how much money does he give away?
2676,how much money does he give away?,"this year he gave away $15,000."
2677,"this year he gave away $15,000.",that's a lot of money.
2678,that's a lot of money.,he gave $100 to people in wheelchairs.
2679,he gave $100 to people in wheelchairs.,what about the other homeless people?
2680,what about the other homeless people?,they got $1 each.
2681,they got $1 each.,people stood in line just to get one dollar?!
2682,old movies are the best.,even though they're in black and white.
2683,even though they're in black and white.,a good story is more important than color.
2684,a good story is more important than color.,actors didn't curse back then.
2685,actors didn't curse back then.,and there was no violence.
2686,and there was no violence.,people today don't like that.
2687,people today don't like that.,"no, today people like lots of action."
2688,"no, today people like lots of action.",i like a good story.
2689,i like a good story.,i like to see actors who are like real people.
2690,i like to see actors who are like real people.,like real people with real problems.
2691,like real people with real problems.,they still make movies like that.
2692,they still make movies like that.,"yes, but they never make much money."
2693,do you get pbs on tv?,"yes, everybody gets the public broadcasting system."
2694,"yes, everybody gets the public broadcasting system.",it puts me to sleep.
2695,it puts me to sleep.,tell me about it.
2696,tell me about it.,a gardening show follows a knitting show.
2697,a gardening show follows a knitting show.,a cooking show follows a sewing show.
2698,a cooking show follows a sewing show.,a travel show follows another travel show.
2699,a travel show follows another travel show.,i'll say! i've gone around the world a dozen times already!
2700,i'll say! i've gone around the world a dozen times already!,now they're adding old tv shows to the old movies.
2701,now they're adding old tv shows to the old movies.,i sure would like to see something interesting for a change.
2702,i sure would like to see something interesting for a change.,"if more people donate money, pbs could offer new shows."
2703,"if more people donate money, pbs could offer new shows.",who wants to donate? public tv should be free.
2704,"i love to watch ""judge judy.""",is that a tv show?
2705,is that a tv show?,yes. it's on every afternoon.
2706,yes. it's on every afternoon.,what's so good about it?
2707,what's so good about it?,they have interesting lawsuits.
2708,they have interesting lawsuits.,such as?
2709,such as?,"yesterday, a woman complained about a cell phone she bought on ebay."
2710,"yesterday, a woman complained about a cell phone she bought on ebay.",was something wrong with the phone?
2711,was something wrong with the phone?,it works only in canada.
2712,it works only in canada.,did the seller know that?
2713,did the seller know that?,"yes, and he didn't tell the buyer."
2714,"yes, and he didn't tell the buyer.",i hope judge judy made the seller take the phone back.
2715,that woman is a very good singer.,"yes, but she looks like a man."
2716,"yes, but she looks like a man.",what difference does it make?
2717,what difference does it make?,female singers are supposed to be pretty.
2718,female singers are supposed to be pretty.,singers are supposed to sound good.
2719,singers are supposed to sound good.,"they should look good, too."
2720,"they should look good, too.",there are lots of ugly men singers.
2721,there are lots of ugly men singers.,men singers don't have to look good.
2722,men singers don't have to look good.,then neither do women singers.
2723,then neither do women singers.,"well, i would never buy her cd."
2724,"well, i would never buy her cd.",but you would buy her cd if she was pretty?
2725,but you would buy her cd if she was pretty?,yes. i would buy all of her cds.
2726,all the tv stations are going to go digital.,"yes, that will occur next month."
2727,"yes, that will occur next month.",most of them are already broadcasting in digital.
2728,most of them are already broadcasting in digital.,the digital signal is very clear.
2729,the digital signal is very clear.,"oh, no, it isn't!"
2730,"oh, no, it isn't!",what do you mean?
2731,what do you mean?,i can't get a single channel.
